stop_code,name,lat,lon,routes_array
101001,HILL FIELD RD @ 1891 N,41.087382,-111.973612,78774-78777-80399-80402
101003,HILL FIELD RD @ 1655 N,41.083793,-111.973621,78774-78777-80399-80402
101006,MAIN ST @ 229 N,41.063411,-111.969459,78749-78775-80342-80400
101007,RING RD @ 425 W    (LAYTON MALL),41.078921,-111.974571,78743-78751-78774-78775-78777-80387-80388-80399-80400-80402
101009,MAIN ST @ 573 N,41.044271,-111.950257,78749-80342
101011,HILL FIELD RD @ 1596 N,41.083071,-111.973347,78774-78777-80399-80402
101012,HILL FIELD RD @ 1748 N,41.084944,-111.973341,78774-78777-80399-80402
101016,GORDON AVE @ 289 E,41.074723,-111.961671,78774-80399
101017,GORDON AVE @ 75 E,41.074746,-111.964363,78774-80399
101018,GORDON AVE @ 40 W,41.074762,-111.966594,78774-80399
101019,GORDON AVE @ 365 W,41.074802,-111.972262,78774-80399
101021,HILL FIELD RD @ 1398 N,41.079992,-111.973369,78774-78777-80399-80402
101023,GORDON AVE @ 222 W,41.074635,-111.970055,78774-80399
101024,GORDON AVE @ 54 W,41.074569,-111.966888,78774-80399
101025,GORDON AVE @ 58 E,41.074557,-111.965261,78774-80399
101026,GORDON AVE @ 336 E,41.074526,-111.960751,78774-80399
101027,GORDON AVE @ 570 E,41.074472,-111.954485,78774-80399
101029,FAIRFIELD RD @ 915 N,41.073115,-111.950307,78774-80399
101030,FAIRFIELD RD @ 735 N,41.070587,-111.950322,78774-80399
101031,FAIRFIELD RD @ 525 N,41.067556,-111.950296,78774-80399
101032,FAIRFIELD RD @ 325 N,41.065568,-111.948851,78774-80399
101033,FAIRFIELD RD @ 240 N,41.063551,-111.946749,78774-80399
101034,FAIRFIELD RD @ 70 S,41.060599,-111.944891,78774-80399
101035,FAIRFIELD RD @ 150 S,41.058423,-111.943736,78774-80399
101036,MAIN ST @ 450 N,41.040928,-111.942801,78749-80342
101037,FAIRFIELD RD @ 55 S,41.060808,-111.944772,78774-80399
101038,FAIRFIELD RD @ 221 N,41.063365,-111.946824,78774-80399
101039,FAIRFIELD RD @ 340 N,41.065648,-111.948673,78774-80399
101041,FAIRFIELD RD @ 748 N,41.070861,-111.950123,78774-80399
101042,FAIRFIELD RD @ 920 N,41.073159,-111.950119,78774-80399
101043,GORDON AVE @ 409 E,41.074686,-111.957182,78774-80399
101044,GORDON AVE @ 402 E,41.074492,-111.957751,78774-80399
101050,MAIN ST @ 1969 N,41.088094,-112.000243,78749-80342
101051,MAIN ST @ 1711 N,41.085605,-111.997711,78749-80342
101052,MAIN ST @ 1591 N,41.083487,-111.994784,78749-80342
101054,MAIN ST @ 1465 N,41.081005,-111.990767,78749-80342
101057,MAIN ST @ 1125 N    (LAYTON),41.076604,-111.983523,78749-80342
101060,MAIN ST @ 515 N,41.067997,-111.974065,78749-78775-80342-80400
101061,MAIN ST @ 301 N,41.064554,-111.970451,78749-78775-80342-80400
