service_id,start_date,end_date,monday,tuesday,wednesday,thursday,friday,saturday,sunday
116402,20190407,20190810,0,0,0,0,0,0,0
123704_merged_4106630,20190811,20191130,0,0,0,0,0,0,0
13304_merged_4106631,20190811,20191130,0,0,0,0,0,0,0
197904,20190407,20190810,0,0,0,0,0,0,0
142204_merged_4106627,20190407,20190810,0,0,0,0,0,0,0
197922,20190407,20190810,0,0,0,0,0,0,0
2_merged_4106635,20190811,20191130,0,0,0,0,0,1,0
71304_merged_4106623,20190407,20190810,0,0,0,0,0,0,0
2_merged_4106613,20190407,20190810,0,0,0,0,0,1,0
8_merged_4106617,20190407,20190810,0,0,0,0,0,0,0
340904_merged_4106643,20190811,20191130,0,0,0,0,0,0,0
16_merged_4106625,20190407,20190810,0,0,0,0,0,0,0
340804_merged_4106641,20190811,20191130,0,0,0,0,0,0,0
3_merged_4106634,20190811,20191130,0,0,0,0,0,0,1
8_merged_4106639,20190811,20191130,0,0,0,0,0,0,0
12704_merged_4106642,20190811,20191130,0,0,0,0,0,0,0
24,20190407,20190810,0,0,0,0,0,0,0
25,20190407,20190810,0,0,0,0,0,0,0
26,20190407,20190810,0,0,0,0,0,0,0
27,20190407,20190810,0,0,0,0,0,0,0
20,20190407,20190810,0,0,0,0,0,0,0
21,20190407,20190810,0,0,0,0,0,0,0
22,20190407,20190810,0,0,0,0,0,0,0
23,20190407,20190810,0,0,0,0,0,0,0
57904,20190407,20190810,0,0,0,0,0,0,0
150804_merged_4106633,20190811,20191130,0,0,0,0,0,0,0
276904_merged_4106607,20190407,20190810,0,0,0,0,0,0,0
57902,20190407,20190810,0,0,0,0,0,0,0
57903,20190407,20190810,0,0,0,0,0,0,0
1,20190407,20190810,0,0,0,0,0,0,0
9,20190407,20190810,0,0,0,0,0,0,0
276904_merged_4106629,20190811,20191130,0,0,0,0,0,0,0
504,20190811,20191130,0,0,0,0,0,0,0
1004_merged_4106648,20190811,20191130,0,0,0,0,0,0,0
82404_merged_4106632,20190811,20191130,0,0,0,0,0,0,0
150804_merged_4106611,20190407,20190810,0,0,0,0,0,0,0
17_merged_4106624,20190407,20190810,0,0,0,0,0,0,0
1004_merged_4106626,20190407,20190810,0,0,0,0,0,0,0
168104,20190407,20190810,0,0,0,0,0,0,0
17_merged_4106646,20190811,20191130,0,0,0,0,0,0,0
10,20190407,20190810,0,0,0,0,0,0,0
16_merged_4106647,20190811,20191130,0,0,0,0,0,0,0
46304_merged_4106636,20190811,20191130,0,0,0,0,0,0,0
12_merged_4106644,20190811,20191130,0,0,0,0,0,0,0
197903,20190407,20190810,0,0,0,0,0,0,0
71304_merged_4106645,20190811,20191130,0,0,0,0,0,0,0
210704_merged_4106618,20190407,20190810,0,0,0,0,0,0,0
293804,20190407,20190810,0,0,0,0,0,0,0
46304_merged_4106614,20190407,20190810,0,0,0,0,0,0,0
4_merged_4106637,20190811,20191130,1,1,1,1,1,0,0
82404_merged_4106610,20190407,20190810,0,0,0,0,0,0,0
3_merged_4106612,20190407,20190810,0,0,0,0,0,0,1
293802,20190407,20190810,0,0,0,0,0,0,0
293803,20190407,20190810,0,0,0,0,0,0,0
57922,20190407,20190810,0,0,0,0,0,0,0
12704_merged_4106620,20190407,20190810,0,0,0,0,0,0,0
142204_merged_4106649,20190811,20191130,0,0,0,0,0,0,0
105303,20190407,20190810,0,0,0,0,0,0,0
4_merged_4106615,20190407,20190810,1,1,1,1,1,0,0
11,20190407,20190810,0,0,0,0,0,0,0
128004_merged_4106606,20190407,20190810,0,0,0,0,0,0,0
13,20190407,20190810,0,0,0,0,0,0,0
12_merged_4106622,20190407,20190810,0,0,0,0,0,0,0
15,20190407,20190810,0,0,0,0,0,0,0
293822,20190407,20190810,0,0,0,0,0,0,0
24904_merged_4106638,20190811,20191130,0,0,0,0,0,0,0
128004_merged_4106628,20190811,20191130,0,0,0,0,0,0,0
19,20190407,20190810,0,0,0,0,0,0,0
18,20190407,20190810,0,0,0,0,0,0,0
340804_merged_4106619,20190407,20190810,0,0,0,0,0,0,0
168102,20190407,20190810,0,0,0,0,0,0,0
123704_merged_4106608,20190407,20190810,0,0,0,0,0,0,0
168103,20190407,20190810,0,0,0,0,0,0,0
13304_merged_4106609,20190407,20190810,0,0,0,0,0,0,0
197902,20190407,20190810,0,0,0,0,0,0,0
340904_merged_4106621,20190407,20190810,0,0,0,0,0,0,0
210704_merged_4106640,20190811,20191130,0,0,0,0,0,0,0
53102,20190407,20190810,0,0,0,0,0,0,0
53103,20190407,20190810,0,0,0,0,0,0,0
53104,20190407,20190810,0,0,0,0,0,0,0
168122,20190407,20190810,0,0,0,0,0,0,0
24904_merged_4106616,20190407,20190810,0,0,0,0,0,0,0
