stop_id,trip_id,[times]
3708930,14913,[7:08:00]
3708930,15017,[7:07:38]
3708930,15041,[6:52:00]
3708930,15042,[6:52:19]
3708930,15043,[6:53:18]
3708930,15044,[6:54:25]
3708930,15046,[6:55:22]
3708930,15047,[6:56:22]
3708930,15048,[6:57:05]
3708930,15049,[6:57:30]
3708930,15050,[6:58:00]
3708930,15052,[6:58:53]
3708930,15053,[6:59:45]
3708930,15054,[7:00:03]
3708930,15055,[7:00:14]
3708930,15057,[7:01:47]
3708930,15058,[7:02:39]
3708930,15059,[7:03:16]
3708930,15060,[7:04:00]
3708930,15061,[7:04:32]
3708930,15062,[7:04:57]
3708930,15063,[7:05:29]
3708930,15065,[7:06:33]
3708930,15066,[7:07:05]
3708930,20902,[7:15:00]
3708930,22542,[7:05:58]
3708930,8194,[7:01:07]
3708933,14950,[6:52:00]
3708933,14951,[6:52:20]
3708933,14952,[6:52:52]
3708933,14953,[6:53:41]
3708933,14954,[6:54:08]
3708933,14955,[6:54:34]
3708933,14956,[6:55:00]
3708933,15023,[7:00:50]
3708933,15024,[7:01:17]
3708933,15025,[7:01:32]
3708933,15026,[7:02:15]
3708933,15027,[7:03:00]
3708933,15028,[7:04:12]
3708933,15029,[7:05:04]
3708933,15030,[7:06:00]
3708933,20902,[7:15:00]
3708933,21567,[6:55:48]
3708933,23634,[7:08:28]
3708933,23635,[7:10:06]
3708933,23811,[6:59:28]
3708933,23812,[6:57:37]
