stop_id,stop_code,name,lat,lon
870,135009,CONSTITUTION BLVD @ 3700 S,40.691967,-111.958133
887,135026,CONSTITUTION BLVD @ 3601 S,40.69391,-111.957789
1022,118161,NORTH MEDICAL DR @ 50 N,40.772535,-111.837594
1024,117229,REDWOOD RD @ 701 N,40.784947,-111.939549
1029,812002,STATE ST @ 101 S,40.295471,-111.694104
1038,812011,STATE ST @ 830 N,40.313278,-111.701888
1040,812013,STATE ST @ 1090 N,40.317158,-111.703591
1041,812014,STATE ST @ 1220 N,40.319878,-111.704794
1045,812018,STATE ST @ 1960 N,40.332719,-111.712453
1054,812027,STATE ST @ 1975 N,40.333298,-111.713371
1059,812032,STATE ST @ 1185 N,40.319009,-111.704795
1066,812039,STATE ST @ 497 N,40.305817,-111.698999
1067,812040,STATE ST @ 381 N,40.303699,-111.698101
1071,812044,STATE ST @ 20 S,40.296691,-111.695037
1253,125371,900 W @ CALIFORNIA AVE,40.741116,-111.916761
1711,135285,BRUIN BLVD @ 1885 W,40.674518,-111.942491
1725,138045,3900 S @ 2710 E,40.687021,-111.814588
1742,138062,3900 S @ 2647 E,40.687137,-111.815687
1760,138081,2300 E @ 4510 S,40.673866,-111.824613
1775,138097,MURRAY HOLLADAY RD @ 1868 E,40.665783,-111.838718
1776,138098,MURRAY HOLLADAY RD @ 1910 E,40.665779,-111.837373
1819,138140,3300 S @ 3301 E,40.699971,-111.800396
1844,138164,3300 S @ 2035 E,40.699958,-111.832888
1849,138169,3300 S @ 2010 E,40.699791,-111.833697
1852,138172,3300 S @ 2290 E,40.699803,-111.825038
1885,138205,2000 E @ 2710 S,40.712348,-111.834154
1926,154038,STATE ST @ 6300 S,40.63481,-111.889144
1927,154039,STATE ST @ 6200 S,40.636249,-111.889072
1958,154071,900 E @ 5640 S,40.649194,-111.866073
1970,154085,900 E @ 7077 S,40.622595,-111.865825
1998,154113,1300 E @ 5585 S,40.649953,-111.854415
2024,154139,1300 E @ 6980 S,40.626942,-111.854874
2144,138272,WASATCH BLVD @ 4470 S,40.674781,-111.801245
2149,S156001,BIG COTTONWOOD CANYON P'N'R (DOWN),40.619489,-111.786845
2202,126491,SOUTH CAMPUS DR @ 1530 E,40.760138,-111.846654
2222,154171,STATE ST @ 5590 S,40.649543,-111.888732
2228,154177,STATE ST @ 6206 S,40.635734,-111.889519
2249,172192,9000 S @ 185 W,40.587957,-111.895461
2333,127221,2100 S @ 1905 E,40.725572,-111.836211
2426,126498,GUARDSMAN WAY @ 510 S,40.757942,-111.845493
2440,817249,500 W @ 1145 N,40.250005,-111.667588
2450,817259,STATE ST @ 1248 N,40.251103,-111.667531
2499,817308,UNIVERSITY AVE @ 1020 N,40.246981,-111.658493
2641,816003,CAMPUS DR @ 791 W,40.275892,-111.712444
2682,136156,700 W @ 3575 S,40.692436,-111.911123
2701,136175,700 W @ 3600 S,40.692217,-111.911311
2725,127042,900 S @ 1898 E,40.749752,-111.836757
2759,127077,1900 E @ 901 S,40.749641,-111.836469
2773,118086,13TH AVE @ 536 E,40.784094,-111.87321
